0_N,0_P,1_N,1_P,2_N,2_P,3_N,3_P,4_N,4_P,5_N,5_P,6_N,6_P,7_N,7_P,8_N,8_P
PFN1,1.3033069193776678e-40,TEX38,5.511206500873064e-53,LINC01061,5.49005014911701e-61,ABCA5,4.705234401462773e-28,DYDC1,4.067190171316682e-24,MGAT4D,9.591834011561482e-56,ANKS1B,2.7294134130522894e-17,FTX,1.1738853808234859e-09,SYNE1,9.222673304795957e-16
RPS21,1.153159407376511e-40,LOC105373593,4.5332699472549876e-52,ILRUN-AS1,3.1232766197142214e-61,TPST1,8.203774057780516e-28,C15orf61,1.4354726316889848e-23,LOC349160,2.7098376737707775e-56,SORCS1,2.9862580715267e-17,SPARCL1,1.6894217373802386e-09,MAMLD1,1.1926532002522935e-15
PATJ,4.1713834567751935e-40,LOC105371309,3.915207091631628e-52,PPP2R2B,8.845056530497095e-60,COX17,1.1088192381957219e-27,SERF1A,1.795764994626503e-22,ACTR3C,7.523439654080808e-56,B3GALT1,2.5091358278200514e-17,RPS18,1.7833331584302727e-09,ELL2,1.4322101248958856e-15
AGMO,1.3972972253828335e-39,LOC102725019,7.294453894789521e-52,PRM2,2.942252329020972e-59,LOC105378128,1.866709227173947e-27,LOC100652758,2.1495564816198605e-22,LDHC,2.856413159233915e-56,MACROD2,3.8886147436051846e-17,MEG3,2.9382416955815235e-09,MYO6,1.4507851516224833e-15
U2SURP,1.5139712571946693e-38,SMIM23,2.384180197367401e-52,TMEM270,9.986841010681037e-60,PPM1E,1.4395377976511269e-27,LOC107984000,3.865393626421605e-21,SPDYA,4.851421423725573e-56,TMTC2,5.175843665408395e-17,HLA-A,3.575519102958365e-09,SERPINA5,1.6121316359176453e-15
TUBA1B,4.707413384269288e-38,LINC01911,1.698473438634793e-50,LOC101929998,9.168638440551403e-60,TMA7,2.167544093884489e-27,PAOX,6.110693243379161e-21,LOC728715,1.1787396939824464e-55,PPP3CA,5.375107284161871e-17,TXNIP,3.6307587337054584e-09,MRO,2.063688755450617e-15
HELLS,9.840686155280609e-38,LINC01000,2.118788497865549e-52,C20orf141,1.0942297700131933e-58,KCNQ1OT1,6.96551151971681e-27,SERF1B,6.869588285015545e-21,SEC61G,2.840619757583318e-55,AUTS2,5.788332802733929e-17,FLRT2,3.767574293252849e-09,ZNF711,2.910102915336963e-15
FAM189A1,7.628108111294413e-38,PDE6A,5.471173555669503e-50,C20orf173,1.3190955413385342e-58,HMGB2,7.791865726220646e-27,NDUFS6,7.67954996641222e-21,NDUFAF3,8.269121755501516e-55,KLF12,9.519785706368825e-17,MGP,4.400579166094556e-09,SEMA3C,2.9890077145161435e-15
LOC101927437,1.807632944702627e-37,TSC22D1,1.4183193890908187e-50,TEX29,3.9480193623149964e-58,TBCA,1.8974860017144766e-26,ISOC2,1.1448089700420394e-20,RPS17,6.683998384001612e-55,SDK1,7.180678408205233e-17,TACC1,5.124230287197308e-09,TNIK,3.0540646896752225e-15
LOC100996294,7.89907361516381e-37,SPACA3,3.042364870292589e-50,DYNLL2,3.676734234580879e-58,PRSS21,1.0540281540932396e-25,CCDC146,1.6658205579770575e-20,LARP1B,1.9413862184348822e-54,DMD,3.0890490012848814e-16,TRDN,5.315020003612772e-09,BCL2L2-PABPN1,3.019024845057341e-15
OFCC1,8.013990226340017e-37,LINC02842,4.0004553315740903e-50,LARGE-AS1,3.620866355702085e-58,LOC649133,1.4225102662202646e-25,VPS13A-AS1,2.9726059279621254e-20,ZNF385D,1.6472327094337928e-53,UBE2E2,4.111535277914421e-16,GSTA3,6.7240046510458485e-09,WLS,4.975772478691311e-15
GNAL,1.2400649257884626e-36,AFG1L,6.050062079722073e-50,CCL21,2.182424065937176e-57,TEX30,9.892054607802423e-26,MAPK10,3.348883077632811e-20,SPATA22,4.339484646259568e-54,NPAS3,5.830337632846528e-16,AOX1,1.0498816517652469e-08,ASTN2,6.019445879916834e-15
LOC107985037,2.6369476818181324e-36,TMEM89,1.2182502947909278e-49,DNAJB7,5.015176366007591e-56,ANKRD31,2.257926649303262e-25,CFAP299,4.069804035778605e-20,GPX4,1.265832980451347e-53,PDE4D,1.0151489427273151e-15,CALD1,1.5903825412382578e-08,CLDN11,6.379224053977114e-15
LINC01194,1.672714774029053e-36,C17orf50,9.721990159156458e-50,USP2-AS1,7.527735181138382e-57,SLMO2-ATP5E,1.574877615205071e-25,CDRT15,4.955556746367806e-20,PFDN6,8.822658956735735e-52,DPP10,1.1349163204460695e-15,RPL41,1.7086476082366782e-08,ALG13,7.59124251286165e-15
