0_N,0_P,1_N,1_P,2_N,2_P,3_N,3_P,4_N,4_P,5_N,5_P,6_N,6_P,7_N,7_P,8_N,8_P,9_N,9_P
ATRNL1,1.047794717009466e-308,CCDC192,8.191786148820415e-240,CNTNAP2,1.6601526993150067e-194,PSD3,1.1020627585005298e-275,ASAP1,2.819811170666261e-111,MGMT,9.301399451704092e-217,GULP1,2.0927970451990557e-255,LINC02478,9.68742021879247e-115,ARL15,2.5292043852925078e-223,PDZRN4,5.643644439686804e-44
SETX,4.964222131340388e-308,CEP112,2.6877340664541004e-239,SORCS1,1.817500577317477e-192,PDE1C,3.076327236733094e-266,LOC101927026,3.0066595299994584e-108,FRRS1L,2.8023735501040077e-213,LINC01818,1.1708522623577322e-252,PCBP3,8.098752560978893e-111,MACF1,2.4977197468330667e-222,PTCH2,4.3290658469276605e-41
CEP128,1.2835814569371126e-297,LOC105372733,5.888995063857109e-238,HS6ST3,1.508086995108763e-194,PRKCE,8.093606134074678e-263,PDE8A,1.3628205125971007e-107,STXBP5-AS1,6.761342799995949e-218,ADAM2,4.9296717930870685e-253,LOC105377703,2.790713370258817e-110,SLC7A14-AS1,1.6744254521039806e-216,DCN,2.5014770083566337e-40
CYP19A1,1.1469945441169277e-289,LRRIQ3,6.3124844012541066e-229,SDK1,1.831794939097031e-199,LOC107984035,1.0041532046362112e-266,ABL1,1.1453486614905276e-107,GRM5,6.210077584957426e-209,ANKRD20A4-ANKRD20A20P,2.625125483985915e-254,SPDYA,1.4370011485744082e-108,LOC105373347,4.4019139516310146e-216,LHFPL6,2.497387316580806e-40
STAG3L5P-PVRIG2P-PILRB,2.891831898913588e-289,STXBP5-AS1,1.2458794401905215e-233,SLC25A21,1.6565520820048763e-194,MGAT4C,8.746654982569213e-264,LOC107985508,4.042951057360719e-102,ACAP1,3.239290169680352e-210,ADAM18,1.3965286835544776e-247,LINC01572,3.466966863703602e-108,MYO10,2.931872997596855e-216,FBXL7,1.0510748327066507e-39
PIWIL1,2.713313467113231e-287,CCDC146,4.988840586829578e-224,MDGA2,2.9228839554118964e-190,GALNTL5,5.06299912080918e-257,ZCCHC7,1.8610841462252048e-102,C20orf141,9.716590525036921e-203,MGAT4D,1.597645373609205e-249,DMRTC2,7.090902324150091e-106,TRPM3,3.239423155598973e-217,LTBP4,3.714671131904969e-39
SHCBP1L,3.637034063575869e-287,LOC105375551,6.442644037341551e-222,LOC107986770,7.486491126807169e-191,GOLGA6L7,7.927520341928978e-263,TEX11,1.1814360215805632e-99,SH3GL3,1.380177967025342e-203,ANKRD18A,1.1077344520207944e-245,ASH1L,2.1483531478797364e-103,TBX22,3.985473038209136e-214,THSD4,3.857543281450818e-39
ANKRD20A1,3.307869129539978e-283,FOXN3,2.6970636846534817e-224,RGS7,3.3112524903740784e-187,SGCZ,1.8999929518729735e-256,SPECC1,6.328867868255489e-98,FAM209A,6.185966440003686e-203,SPATA16,5.7014132906702565e-241,CHD9,2.1097574514887794e-101,LOC105375523,8.410889835074747e-215,NFIA,2.2489903006185704e-38
ANKRD30BL,3.6550981044130375e-279,LOC107984035,3.5962717540247154e-223,LOC105376755,1.0171323565807179e-184,ZNF385B,3.1283899580065727e-244,ZBTB46-AS1,1.4562880493794042e-95,CCNY,4.423761426972883e-203,LINC01206,5.3767351407484595e-244,FCHSD2,9.276017702182503e-101,AKAP12,8.846915688467886e-216,NR2F2-AS1,4.562526270525668e-38
KDM5B,4.035675729917872e-279,NEBL,1.0923575085998485e-216,DPP10,1.7478042672840073e-184,LPP,2.8471911818379424e-245,PTK2,2.4904461955110836e-96,SMKR1,2.4060702526224865e-201,DLGAP2,4.174807361453976e-241,LOC100507412,5.2078487929981e-100,RUFY3,5.664081566391156e-214,SNED1,2.6604129802906578e-37
STPG2,1.457195627941902e-280,MAST4,1.5357377664890226e-216,LOC442028,1.4786499165524469e-182,LMNTD1,1.1491598499357535e-244,ATP2B1,7.936174921675623e-95,PRKCE,3.713553812815956e-200,DLEU1,3.515037175610115e-233,RIMS2,3.1236974428292597e-99,MYO6,6.929574596068933e-212,PRKG1,2.9989810471753117e-37
HORMAD1,1.4960086720268766e-279,RERG,3.6230133721953655e-210,GRIP1,3.0795696971687115e-183,MAGI1,9.277519843868983e-244,OSBPL8,2.2942683684801535e-94,LOC105372440,8.861169256568705e-198,DNAH8,1.310947271074436e-231,TANC2,1.7530011777066226e-98,LAMA1,1.959654695569955e-211,MIR100HG,7.218535951844308e-37
PPM1E,4.115491564495873e-282,TSBP1,3.0882972606050974e-211,NKAIN2,6.482679496483697e-178,SRPK2,9.548085605930527e-244,LOC105377171,3.51669326333737e-94,CCSER1,1.044041729899048e-205,ANKRD36B,3.016008386012716e-233,MEI1,1.648420024732099e-97,DCAF8L2,4.818622933644519e-211,ADAMTS9-AS2,9.773078080832121e-37
RNF17,1.960717511359636e-275,PSD3,1.350833237119924e-210,GALNTL6,2.958489194607833e-181,PTTG1IP2,1.6055352450018625e-239,MEF2C-AS1,3.3181984413734537e-94,MGAT4C,4.965566234714161e-198,CAMKMT,8.538954523793691e-232,ANKRD31,2.2950238690550524e-96,RORA,8.174945524991138e-211,DLC1,2.8685080422429275e-36
LINC00466,2.9451224664303235e-270,ADGB,1.6634266919720502e-207,TENM3,1.1222434338119585e-179,LOC101929563,4.535068089927568e-239,PTPRA,5.148189711973478e-94,C5orf46,2.8124014953154405e-194,SCHLAP1,1.0066413605379177e-225,ABCA5,2.6858782164456895e-94,SYNE2,3.5903460598358985e-208,SVIL,3.3516192487708267e-36
CFAP299,1.5555678720141149e-276,ZBBX,5.831747194029124e-208,FAM189A1,5.33457997341187e-175,IQCA1L,2.607799744185169e-223,EVL,1.7957529488423594e-93,SPTY2D1OS,6.523027504327461e-195,IFT74,3.96514779564485e-227,KCNQ1OT1,3.3196149925012145e-90,SEPTIN6,2.670830856927964e-203,PARD3B,7.514729170855806e-36
REXO5,3.4519779480864866e-271,NEK11,7.971852671881553e-207,ADGRV1,4.710009979835095e-169,LINC01492,2.595502583428538e-222,POU2F1,1.345099092407791e-91,PRM2,2.1361030114280956e-191,SLCO3A1,4.1745106568746303e-225,C18orf63,6.927449310052613e-87,PLCB4,1.1071572273771044e-198,ARHGAP10,1.3218375599518578e-35
C5orf58,6.213079345201428e-267,DNAH14,5.602878440874354e-207,B3GALT1,9.368746680089207e-169,CCNY,2.2352950594697947e-223,TTC3,9.965782801481262e-92,RUNX2,1.5158713672130888e-187,AP4B1-AS1,2.2481165212798643e-226,STRIP2,1.8847743170311218e-86,KMT2C,1.2314023318366283e-199,SPTBN1,1.5105326443806016e-35
KASH5,4.3036166103632916e-263,WWOX,9.461889257850848e-205,BACH2,2.7127748289809334e-167,GABRG3-AS1,1.5925001384395455e-220,LINC00333,1.7528148692176855e-91,EHBP1,1.0423887061862385e-186,ADD3-AS1,1.7115462258067305e-221,HORMAD1,5.166763123482003e-86,LMBR1,5.108713079521207e-198,LOC107984001,2.70671874520072e-35
SPDYE14,2.7233232105453855e-257,CFAP299,2.2451339499376328e-209,NEGR1,8.716742066689349e-165,NAALADL2,4.121125456411592e-223,REV3L,1.2594692507520642e-88,TNP1,1.8733422458513744e-184,LOC100506207,1.892826283388844e-225,RAD51B,1.332295940157351e-85,QKI,8.91799167751486e-198,SMOC2,8.912587943820854e-35
EFCAB2,3.432690236090178e-261,AGBL3,3.275426105737143e-205,LINC00624,2.328286196806948e-161,LOC440896,7.054631803962262e-220,RNF130,2.7613077590918617e-87,HMGB4,3.738762053172391e-185,SLC9C1,3.906790069527618e-218,MGC4859,4.004169176313293e-85,RALYL,9.801891069166049e-195,COL4A4,1.000653283826812e-34
IFT122,2.124658720901284e-256,C12orf42,1.0099636530615801e-203,GALNT17,1.4492397194491859e-161,CSNKA2IP,2.2641833402180971e-215,SIPA1L1,4.243720186786271e-86,RAI14,3.108652639217589e-183,LOC440910,6.806004033771167e-216,AHCYL2,2.454045006610651e-84,WIPF3,2.822656219613936e-194,COL15A1,1.1370290798681748e-34
LINC00342,4.8944183856502665e-251,LINC01609,4.270482515509313e-204,KHDRBS2,7.053750401254888e-160,LOC101929058,2.590755028806691e-213,SOX4,3.1768561385702025e-84,LRMDA,3.527013760867487e-185,LOC105379207,4.049263943854365e-217,KCND2,1.7996811957646188e-83,MSI2,6.039686467866966e-195,ACTA2,1.3041839550065717e-34
WDR70,8.913950906355318e-254,ARHGEF3,2.8195589916250784e-205,LARGE1,1.0789047974775399e-160,LRRC7-AS1,1.827368265834979e-214,HS2ST1,1.1307178951786756e-83,LINC01088,1.9315013649085624e-179,CATSPER2,1.4432338798188818e-218,KDM2A,2.9512621916825883e-83,MIR924HG,5.586107527466199e-192,RBPMS,1.9605159503350796e-34
ANKRD36,7.591834323184252e-244,LOC105374007,3.569618272074611e-201,NFIA,1.4671063971006025e-159,CDYL,6.3410086663995295e-217,CDH18,2.2026143150143014e-83,LINC02465,2.1842858947691432e-176,FAM126A,2.1036774989049564e-215,POLN,1.2504018325093526e-82,COL1A2,1.8175251355113708e-192,TNS1,1.415277437120209e-33
IMMP2L,1.2015861025507104e-246,EFCAB11,7.310612731857156e-204,PHF14,7.0482578065008744e-158,ZFPM2,5.537813042323551e-215,SPANXA2-OT1,1.676502793813258e-82,SIRT2,1.051659670797251e-174,NOVA1,3.1407659496367458e-217,TEX11,1.0573081768225548e-82,HELZ,1.0736209987380344e-188,KCNIP1,2.158827082469474e-32
ANKRD20A4-ANKRD20A20P,9.301828924975213e-245,CFAP54,2.1374831173829807e-201,NPAS3,8.081774291001519e-157,LOC105374455,2.836071845249011e-212,CCDC137,6.439397200712899e-82,GRM8,1.0151827992529024e-175,HNF4G,1.1550723029715426e-212,HELLS,3.3615742009451013e-82,CADM1,9.668204883759123e-192,FLRT2,2.7505280844972753e-32
LINC01507,2.637589458715359e-234,NPIPB15,6.260994907068045e-202,FBXW7,3.426777129434132e-157,BRINP3,1.0789537475197569e-213,GTDC1,5.334220982956652e-82,MAGI1,7.602324166948593e-174,LOC112268136,1.4966309178042234e-213,GLMN,2.1251590748272002e-81,LOC105370504,1.5441925542561767e-186,INSR,2.745618877406829e-32
VPS13B,3.6278577842445005e-239,LOC105377110,6.724225527579697e-196,COBL,3.260630518389195e-151,PDE6A,1.5668028579282562e-209,MEI1,2.396425339837028e-81,PLCZ1,3.4255903761395258e-174,GPATCH2,1.771982357191705e-213,LOC101929028,3.0131835175288374e-81,UST,5.528260229552699e-186,COL1A2,2.8368517330996795e-32
LINC01206,8.347581221548316e-234,SPATA13,1.7547667347270107e-195,UBE2E2,1.4474830319476962e-153,WDR7,5.1939278730887314e-210,KLHL13,3.562139989593596e-80,SMIM23,1.708230369173717e-169,TNRC6B,1.46956888970068e-212,ZNF804B,5.529049970545583e-81,WNK3,1.6100642993539998e-185,LOC105372676,3.356858293857576e-32
NRXN1,1.841112840526166e-234,HYDIN,1.5442086999511807e-194,ACOXL,3.500284053490816e-150,STAT4,2.600445531934192e-210,CENPP,1.4226138897822082e-80,ICA1,3.894389145884458e-167,SNHG31,1.0293259506249125e-208,VSNL1,1.0399145242965875e-79,TIAM1,3.2019733125876173e-186,KCNMB1,1.1762804774781108e-31
