Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
COL26A1,1.7356866546874433e-69,FHAD1,4.773638425657033e-165,LINC02842,2.9964005071676646e-143,LINC01811,2.4776910615968073e-178,TACC1,1.3560852377763634e-26,AP4B1-AS1,1.5594712058617122e-219,LOC105374071,3.1018716456692807e-176,TTTY14,6.7309032686039195e-167,LOC107985675,2.8994554092616683e-127
LOC105371657,1.0406011983308298e-69,LOC105376917,1.3056000145813846e-165,KCNMA1,5.4453981478906815e-143,RGS22,8.02770053483019e-180,TRPS1,1.6976968411863464e-26,SYCP1,1.0942765421838319e-212,SLC12A6,3.4551496760247123e-177,SMARCA2,1.3636357282453807e-167,ADAM23,2.0056116402911648e-126
DMRT1,1.1098207359549572e-69,DEUP1,1.884765505227513e-163,TMEM190,3.9114915943255014e-142,LOC105375387,7.965621626800055e-177,PAK3,3.1946804196848554e-26,NOVA1,3.5751995163057495e-218,TRIM14,3.535349434777318e-176,NFIA,8.935365222695938e-169,IL1RAPL1,2.365227140839305e-127
COMMD1,1.0995704350154196e-69,PTPRG-AS1,2.7781240531209845e-163,TEX43,4.8680392387142576e-142,LYZL1,7.189290623636285e-175,ARHGAP21,8.407689524614964e-26,MYO9A,1.1747973736238395e-217,POTEE,2.5849547835759327e-175,MMD2,3.8525530283869513e-166,LOC105374510,2.3997595050303525e-125
WDHD1,2.280887575483913e-69,GAS2,1.5885871552581035e-162,CCDC141,7.219953131100929e-141,MACROD2-AS1,9.111050445784117e-173,MYH11,1.0107251371517577e-25,ART3,4.140514334060778e-214,LINC02820,9.222961336385501e-176,RALGAPA2,2.8365586989467934e-166,DPYD,5.64174478192316e-127
HSF2BP,1.7950268382071003e-69,FAM221B,2.4091441889004466e-161,CAMK2D,3.4366599754874644e-141,C4orf45,7.961891640276766e-174,THSD7A,1.4582604916098904e-25,IMMP2L,1.8327392356688866e-215,BMP2K,1.0212711949797434e-175,AP3B1,5.900265151742445e-164,LINC01193,1.2632602800569775e-122
ZDHHC17,1.1069289254080875e-68,DNAH9,1.9874662379269087e-161,BANF2,3.867560973845308e-140,FAM230C,1.3788502153556875e-173,PCMTD1,3.661181166167283e-25,MIR548A1HG,2.469893897727218e-218,TWSG1,1.2554132306844397e-173,PIP5K1B,1.8423796198083733e-164,LOC101928570,1.0229001039808403e-122
PDS5B,2.5724729350543953e-68,CCDC178,6.465990308465698e-161,LOC105378011,2.1872012010586798e-138,LINC01088,1.4539755523873243e-172,CARMN,4.69325256139732e-25,LOC105373592,2.811111317657472e-215,LOC105376108,3.037206081513457e-174,SAT1,1.115391051088937e-161,BNC2,5.129295692932052e-122
PELI2,1.0069523385158031e-67,ANO3,4.0966584369916466e-159,LARGE-AS1,1.6482827409976271e-139,SERP2,1.0971965207682997e-170,ZEB2,4.55925869148459e-25,DLEU2,2.834576268084142e-211,SLC4A8,8.243281904618558e-176,FAM13A,5.455973967200294e-161,CNTNAP3B,5.931547669529374e-121
AHI1,5.061615035792531e-68,CCDC30,2.3368919326628966e-159,TEX46,2.2037482390152343e-138,LINC01837,3.843494823583527e-171,ARID1B,2.172740348925099e-24,LOC284930,3.4176033629836046e-211,ANKRD36,1.0227582849807599e-173,RHOBTB3,1.5429489348042396e-160,SMAD9,2.026959102797244e-119
BRD9,1.5388543222682685e-67,CDRT15L2,1.653663912887897e-158,SCP2D1,6.485183058109757e-137,LINC01192,1.6898373362886387e-171,NRP1,2.8334506618690606e-24,RALGPS1,4.0205697090686696e-210,FANK1,1.4361179123605788e-174,SAMD5,6.535492553110829e-159,ARID1B,5.515811962696017e-121
TEX15,1.8018522293745632e-67,AGBL4,9.216659456232123e-160,TTN,1.4440895547303995e-136,LINC00211,3.0836595100272466e-168,LUC7L3,8.077624444928485e-24,ATF7IP2,1.2357546599426592e-209,KCTD19,7.573083437724655e-173,ELL2,3.974892477243407e-158,FMN1,5.7308334938627955e-120
NCAM2,3.346410413720564e-67,SPAG17,3.360634767640784e-159,SGCZ,1.0396961166656522e-139,EPB41L2,1.3568470964314022e-171,TPM1,9.109283313300383e-24,PPM1E,5.648163659879141e-210,CMTM2,3.4735153367217214e-170,ACSL4,2.1371664865463163e-156,AUTS2,2.764149304796667e-123
SEMA6D,9.22104378468917e-67,LINC01192,3.1866340762677143e-158,HECW1,3.632224016130422e-135,LINC00917,4.06913742852529e-167,COL6A2,1.0990245448103127e-23,MEIKIN,2.070678111512928e-205,CREBRF,2.5351353569299285e-170,MYO9B,1.8928524485402444e-157,LTBP1,5.289003730647556e-119
NKTR,1.5582793797728363e-66,C9orf135,6.342126985120062e-157,MAP4K3-DT,1.8668683863262348e-134,EML2-AS1,1.9650620309690402e-166,PTGDS,1.8322144705433535e-23,MAGI3,9.822645437324997e-209,LINC02211,1.379188417853411e-169,WSB1,5.999308016640861e-157,LHFPL3,7.020660118588062e-118
RIMS2,2.5008427791722584e-66,RFTN1,2.652260341376394e-156,LOC105375477,1.6310816224817516e-133,LOC105373720,4.5875961569812365e-166,LMOD1,2.726743933417667e-23,LINC00342,4.13614460482349e-205,C2orf88,2.158922775556979e-169,TJP1,1.4957104636789938e-155,LOC728755,2.051536210613178e-117
AGTPBP1,7.587357132272087e-66,LMNTD1,2.792672081522065e-157,G2E3,1.7467845770077425e-134,AFG1L,7.461316679426104e-167,CELF2,3.814965725515666e-23,MYT1L,3.368131473129092e-204,LOC286177,8.356466379333878e-168,ATP2C1,1.0237315864797074e-154,LOC101927026,2.112633517635454e-117
LCOR,7.403043249077327e-66,DYNC2H1,6.875732848385293e-155,SPATA42,3.6843852356193543e-134,LOC105375716,2.7195058063285436e-165,SOX5,1.1692740936842346e-22,MIR548XHG,1.641716764967606e-204,HACE1,2.8082201135915595e-167,LOC101927375,2.429334418278926e-153,RIMS1,4.019401469636027e-117
LINC01036,1.748743179228195e-65,STAT4,1.1856705037425475e-154,ECRG4,2.6663010753568885e-133,LINC02842,1.4268721777534571e-165,ANK2,1.3091512735304273e-22,LINC02008,6.632284983401566e-203,MARCHF11,2.0574919916917038e-168,MAMLD1,3.6912191753174564e-153,SSBP2,4.5679316965204185e-116
HIBADH,1.1268971357163927e-65,DNAH7,9.106266581712573e-154,PPP1R12A-AS2,2.9185087312799697e-133,LOC101929998,1.9400288587707835e-163,SETBP1,1.3543306990728599e-22,ANKRD31,5.230374545057378e-201,SGMS1,1.1196555945186232e-166,SCML1,1.722418916329509e-153,MYO1D,2.337277429892418e-116
SPEN,1.721563005793479e-65,SEM1,1.4533280255162487e-153,TRIM36,4.3858870250570834e-132,DNAH3,7.967695716681311e-166,TTTY14,1.5101195102907483e-22,LOC105379364,3.196021960190032e-200,DNAH12,2.8082201135915595e-167,WDFY3,7.416620132205945e-153,CAMK1D,2.0161616710123303e-115
LOC105370108,1.807559281369533e-65,GOLGA6L10,1.2491724063439482e-152,SPATA33,1.559028976136937e-132,ATP10A,2.041628539779224e-163,MKLN1,1.631869351606337e-22,C1QTNF3,1.4663316077493752e-201,DNAI1,1.1012882337956284e-165,MAP7,4.5575149199364326e-153,BICC1,1.7288715109143755e-115
BAZ1B,2.0448137019353697e-65,DNAI4,2.396129361468499e-152,LOC101928882,5.0362845298681194e-132,PLD5,3.238162185198286e-163,ABCA8,2.1704980610471055e-22,TBC1D19,1.737877318952439e-201,LOC105374928,2.0431444380075563e-164,ARHGAP26,1.2299853851126778e-153,TMEM132C,5.57404658100563e-114
ATRN,3.202391553210614e-65,RBAKDN,1.5545802226925577e-152,TMEM270,9.86279392516753e-131,TEX51,3.000372717086795e-163,FTL,2.348240546292896e-22,LOC105375974,1.5833993937133378e-199,SPDYA,7.006878932369603e-168,PRKCB,4.289667480812672e-152,POU6F2,2.09333648918346e-113
EPB41L5,5.099420491767621e-65,LINC02826,2.628432757597343e-149,LPAR6,3.1249895404124193e-130,AGAP1,3.5637538561214865e-164,ENG,2.7016864256732296e-22,WDR62,1.0391683887167417e-199,POT1-AS1,4.3874223341169656e-164,TOX,3.679910172219157e-151,DNAH11,1.2716398279055018e-113
RABGAP1L,4.295417788122569e-65,NLRP1,5.876034127295425e-149,LOC105370832,5.917833984579666e-130,FAM217A,1.855101169614299e-160,IMMP2L,4.534775456266245e-22,ZCWPW1,8.235791413786074e-197,CDC20B,4.957714899730691e-163,TMEM135,1.660768086401695e-151,DCLK2,1.541516876815342e-112
TMEM131,2.0757822038107745e-64,KIAA1328,8.486574049419384e-150,LINC02165,5.472075584460006e-128,SLC38A9,3.1651974376127414e-161,PDGFRA,5.816355890628356e-22,CCDC15,6.828882646416425e-199,PPP1R1C,1.0026285317182886e-162,ADGRL3,4.791882093850725e-152,LRFN5,3.9257987017485076e-112
BSG,4.32214175723901e-64,WDPCP,3.164707141424506e-149,CYB5R4,3.385401255874237e-128,VASH2,1.8954766865244723e-160,PCSK5,5.946068354796054e-22,CSMD3,5.796863532954691e-200,C2CD6,5.173865198014363e-162,VCL,1.7956354640851468e-150,LINC02089,9.451672179672651e-112
DICER1,1.0429791857481803e-63,LOC101929380,6.04947552975383e-146,TMEM205,2.7644838040944426e-127,LOC105375147,7.687700456651518e-161,UACA,8.410662956479312e-22,LOC105378424,1.0118196086672765e-195,FAM153A,2.9913466820278863e-162,LUC7L3,4.8477333961664286e-151,APBB2,2.963594484436848e-113
ADIPOR2,1.0219439759694528e-63,RMST,2.8243240552279276e-146,PDCL2,3.1969427603605364e-127,ERC1,2.3876669952465456e-162,TIMP3,9.327104249542852e-22,CNTRL,1.7907918236672997e-200,CERS3,7.618089898257401e-160,ZMYND8,3.2520392901616636e-150,CECR2,1.485634264452137e-112
MAP7D2,1.9954193307553354e-63,ATG10,3.557811759211529e-147,MAP3K14-AS1,3.142307674269023e-126,INSL6,1.624906250223113e-161,IGFBP4,1.23888582137265e-21,CCDC73,1.132398607620674e-196,ASRGL1,1.6183906889196486e-161,SLC25A21,1.5270303115822376e-149,PELI2,7.619032822345447e-112
CDK8,1.618646551927303e-63,DNAH6,9.668650574851335e-147,WDR41,3.644568696388618e-128,SH3GL3,4.011558346024341e-162,XAF1,1.2938520559302605e-21,ANKRD36,1.1545184091080175e-193,SLC2A13,1.150348369229269e-158,KDM6A,7.905542271460976e-148,GNAQ,5.102261256807234e-112
RNF216,2.526841437730729e-63,LOC105378516,2.4459116574395102e-143,LOC105370418,4.2924078006840425e-125,SAMD4A,2.8399281908338748e-160,ZFPM2,1.5101233818866969e-21,RB1CC1,1.9485275962109757e-194,LOC349160,6.938572642806665e-160,NCOA1,2.4111023790011447e-149,LINC01122,7.663449093466192e-111
PLCL2,6.590648201433271e-63,TTLL7,3.578720599580608e-145,RETREG1,5.339115259537047e-125,RGSL1,2.88604287504461e-159,SLC16A12,2.292331710693233e-21,TMCC1,1.5456617366201558e-193,LOC105377177,7.739363953491235e-160,BRWD3,9.491326481464014e-148,LOC101928849,3.6293473931247873e-110
PRIM1,3.2746307663896994e-62,RBAK-RBAKDN,1.5109116278245945e-145,LOC105373215,9.325428873536761e-124,ZNF428,1.0056250969273127e-158,ZEB1,3.4829333658391075e-21,GBX1,1.1965862660409085e-190,RORB-AS1,1.6661235423818815e-157,SERINC5,1.653060012328362e-147,PDGFD,1.544108767182486e-110
LINC00508,4.572509741115802e-62,ZNF420,4.434720673974792e-145,NFIA-AS1,1.0977291281093413e-123,LOC112268205,6.848233040658692e-159,MBNL1,4.624953598688857e-21,CFAP70,2.5111080200502554e-190,MYO9A,1.0995503722188427e-160,MCF2,6.170664908533801e-147,PRKD1,2.1372349052579523e-111
MIR3667HG,4.919204511463376e-62,SPEF2,2.806681922327449e-143,DCDC2C,7.978450971018553e-124,FER1L6,1.6453860807771644e-157,APOE,6.28983874864463e-21,RAD51AP2,2.492160189966918e-184,GRK3,4.356242350260304e-158,NDFIP1,1.4633821063344822e-145,WASF3,9.032457152064541e-110
SNX25,9.470726387520258e-62,LOC107984258,3.156644336300002e-142,IQCF6,8.788485712078007e-123,LIMCH1,7.989368511886231e-157,DAB2,7.158502625030153e-21,RBM44,3.0616599056931387e-187,STK39,5.110170124115214e-158,SRPK2,2.4757257796148975e-148,LCOR,3.4740979175443945e-110
PRAME,1.2314310184412684e-61,SLC44A5,2.9481251855579075e-144,SCGB2B2,5.8535138867402835e-123,LOC105375463,2.989578510944087e-156,XYLT1,8.742078452017683e-21,ANKRD20A1,7.880576407576717e-188,LINC00342,1.2032105767805949e-157,LGR4,1.566269709961197e-144,ADGRL2,4.187724048527659e-110
DEK,1.1528331292448809e-61,CCDC148,2.027668250037385e-139,GFI1B,2.393106288320537e-122,LINC01499,1.8062396443418284e-155,C1R,1.0128436744648932e-20,TBC1D32,5.5894901162995336e-188,LOC105369812,2.0757829906396916e-155,DPP7,9.100100622107674e-144,LINC00333,2.702619835417514e-109
FAF1,8.502103887308532e-62,TPTE2,5.359330407667174e-141,SNX13,9.923720604962559e-123,LINC01471,1.5023011590280803e-153,CCN1,1.3033568438715446e-20,MDC1,8.49114669712956e-185,FBXL17,3.663405858554286e-158,SVIL,7.249419609166958e-144,RAD51B,2.9577736258981396e-110
TASOR2,1.486324223966575e-61,RGS22,8.314269585920721e-140,NDUFB6,1.1299041949632506e-122,DRICH1,9.416024174010653e-155,ACTB,2.2548876961830564e-20,SPAG6,2.749147207601826e-186,MAPKBP1,7.370645538230948e-157,UBR3,2.7007864414970314e-144,ZNF804B,5.781232471652344e-110
EML4,1.4495390578811562e-61,AFG1L,1.057493577726157e-139,LPP,7.264892864929897e-123,LOC105373593,6.698560499905588e-153,ABCA10,2.5541332143529167e-20,SMC1B,2.876850644325937e-186,LOC646762,3.956812288793994e-155,RPS6KC1,2.846889767759918e-144,TMTC2,3.143054573151068e-109
GPS2,3.7303627774131486e-61,VASH2,3.937401927677256e-139,LINC01344,4.548497850754232e-121,GSTT4,2.0267167709686567e-153,PNISR,2.5642987942149404e-20,PTBP2,8.478205199160504e-186,SLC9C2,7.831247124415571e-154,KEL,1.3680806331445482e-142,YAP1,6.0624635233701425e-108
CASP8AP2,9.492292310090762e-61,LOC105369838,1.0066350071642339e-137,LNPK,1.123798614810878e-120,EXOC6B,5.345706351517172e-154,NISCH,3.0272322552500605e-20,SYCP3,2.6003624168700853e-183,RFX4,3.1107576761677233e-158,PCSK5,3.6599565795415505e-143,KCNB2,2.974645794625534e-107
TLE1,1.9699958466569728e-60,LOC101929278,5.029380398926664e-137,LOC100507053,9.457026047483641e-121,LOC101927145,1.115228189918489e-151,PLAGL1,3.4292760383820345e-20,DENND5B,3.905741894203854e-184,POTEF,1.890611538317017e-153,NOTCH2NLB,1.8509803529644447e-142,EDIL3,4.9849692053062186e-107
LAMC1,2.0658570559082972e-60,LOC112268205,2.2322420001372904e-137,LOC102723740,4.723016322189397e-120,LOC105379109,6.214352183790044e-152,MAML2,3.539476865013505e-20,LOC105376101,4.2901900276347506e-181,TMEM87B,6.694400646505659e-153,SEMA3C,1.4245658740041314e-141,LOC105370108,3.709449758395568e-106
RTN3,1.9357210179424347e-60,FOCAD,1.7788659121120376e-136,SIAH1,1.7948311615146633e-120,TTN-AS1,5.263639730073431e-153,TMSB4X,3.8174598716869715e-20,KNL1,1.2722686502648467e-183,SCN1A-AS1,2.645967319854965e-152,PIK3C2A,1.0762785302660718e-141,HDAC9,1.0925725546364364e-108
SCN8A,2.3334838047599793e-60,KCNH7-AS1,1.7942552320109525e-135,GJB6,5.859904094819876e-121,LOC101928557,1.729070946985422e-151,PELI2,3.8266877560479867e-20,LOC105374524,7.027024247826086e-183,GCSAML,3.4207372758478025e-152,RAPGEF5,2.4475534799150968e-141,LOC105375508,4.0443664961029257e-106
POLA1,4.0938607819202863e-60,LOC101928278,2.6351149016433577e-137,CLMN,3.0597822356971884e-119,NEK11,2.487836946946285e-152,JAK1,4.504873498381038e-20,ELFN2,8.837162762900572e-179,GLIPR1L2,4.904086615882833e-152,SGIP1,2.7035635331686644e-140,COL23A1,3.542248361799271e-106
TCERG1,4.337099021787138e-60,FRG1-DT,8.440544462311372e-136,SPACA3,1.571816686663312e-119,FGL1,5.141665162012425e-150,LOC102723724,6.647889518760665e-20,UBN1,3.0581382512468823e-181,ZPBP,9.973651418163534e-154,RBBP7,1.0148977016734395e-140,SH3RF3,9.185820403736885e-106
SPECC1L,1.2144726514405996e-59,SLC5A4,8.510202019401424e-135,SAMD4A,6.902694657897549e-119,CCDC63,2.5079012962700154e-150,IGF1,7.06325489468181e-20,LOC107987087,3.1536906974854194e-181,MORC1,4.838773118664362e-153,KIF5C,4.436628984113853e-142,DOCK3,3.591838712214539e-106
CHD6,2.2703885000576006e-59,ANKUB1,2.0171172959957153e-133,TMEM210,1.6805091084539546e-117,LINC00869,8.744900429955045e-150,SPARCL1,7.477374452767958e-20,LINC02367,2.4994498103494113e-179,LINC02241,1.7626888184929468e-151,NOTCH2,2.46967370273588e-140,ZNF618,1.3480473445579182e-104
CDK6,3.781817375422835e-59,LINC01501,2.8021214882018203e-134,SLC38A7,1.5398657155569296e-116,C17orf98,5.4794875487496376e-149,SCARA5,7.501890448534467e-20,LOC100287944,1.5176769845028957e-179,TXNDC16,9.546183262599475e-150,ARHGAP10,1.0421998844760325e-140,PDZRN3,5.564327178714514e-105
LOC105377703,2.7890035166151685e-59,FSIP1,2.5493438664869777e-133,SLC44A5,4.062999243495115e-118,LOC100507562,4.4931663739175425e-148,B2M,8.186885504178806e-20,RAD9B,6.596225286143307e-177,SCN1A,9.75738702621101e-149,PTPRM,1.2891597307897424e-140,PCLO,1.010820032300066e-104
PRDM2,4.2591334391127785e-59,LOC105370300,2.4171283516977443e-132,CCDC91,4.679543528012356e-118,CCDC192,8.262229931282948e-150,ITM2B,8.175552844276827e-20,LINC02663,6.686161003681152e-178,SPATA22,3.183587744406875e-151,USP53,8.900905281390669e-140,ADAMTS17,1.6887389196657597e-104
PCDH15,3.2290231533713306e-59,FLACC1,5.057244886233142e-130,IGSF11,9.235966715699604e-117,NOL4,2.9672135106429584e-149,MORF4L2,1.001860205905952e-19,HSP90AA1,2.791219911715795e-178,ANKRD30BL,2.723390335762301e-150,TANC2,9.349634354411328e-142,ROR2,6.745450382695466e-104
LOC105374655,5.334576434605337e-59,GRM3,1.694739839710331e-129,NTRK3,7.257808994706538e-116,LOC101927552,4.0818253141285023e-147,FMNL2,1.0007572447252573e-19,LINC02055,7.194953207767124e-177,DNAI2,3.222452245436103e-149,LINC00498,7.530789274925342e-139,SPECC1,2.600516342512962e-104
ATP9B,5.320637585026178e-59,EYS,3.246010467472733e-132,LOC730100,3.3725112264131233e-115,ATP8B4,6.811982816235908e-146,UNC5C,1.1078474885974641e-19,MEMO1,1.9965428868984376e-175,TIAL1,2.306042836933367e-148,SLC27A6,5.571427769112188e-139,LOC105373150,1.0502385948994857e-103
LOC101928336,1.8501535120361354e-58,SPINK2,4.124152641898009e-128,PDGFC,7.365643236874312e-115,DIS3L2,7.859077981742964e-147,PTCH1,1.183946936657898e-19,SLCO6A1,1.0381618291967472e-175,ELOVL2-AS1,7.972990795950626e-147,ZNF711,2.351146732109045e-138,CHRNA7,2.7608514045157615e-103
U2SURP,1.730271931861278e-58,CFAP58,1.5892455587233134e-126,LINC01442,1.7671629091669e-114,NUPR2,7.162754468735762e-147,AOX1,1.35417073570715e-19,LINC01794,7.684450139192672e-171,OSBP2,5.2542354627741464e-148,MAN2A1,4.2762270697890986e-138,PTPRK,7.921835615810838e-104
MAPK1,2.0433281985633543e-58,ATXN7L1,7.637632618205425e-127,amplicon-chrX-CXorf51A/B,3.3138123784348615e-115,PFN3,2.6250801863530146e-146,NR2F2,1.398485716305451e-19,LOC107984223,1.2288523774581849e-172,CC2D2B,4.530824922311275e-147,KCNK13,1.7783236429148e-137,SFMBT2,2.2015741474500722e-103
BRCA2,3.602211012552559e-58,XIRP2,1.5066253552573286e-125,USP2-AS1,7.233059671540319e-116,NPAS2,3.594618813922012e-145,LAMA4,1.9881440212135458e-19,SBF2,1.3532087100306138e-173,PIWIL1,3.5490987785005466e-147,ARAP2,8.346631436290454e-137,LOC105377975,1.817936085563074e-102
NASP,3.523443861780944e-58,FAM230C,2.1612139586785753e-126,GTF2I-AS1,7.13068752755945e-114,LOC441204,1.8208441425145615e-144,CMIP,2.145574187692605e-19,AK9,1.5267875178591196e-173,AXDND1,9.016962283308391e-148,PLEKHH2,1.229694093101145e-136,CHD7,8.885721661087096e-103
TDRD9,4.440656702787115e-58,MALRD1,5.351805458170099e-125,LINC01000,1.2411223368597246e-113,DIAPH3,7.843820099028023e-145,MEG3,2.3249115232068393e-19,KCTD19,7.364753719246e-170,DENND2B,3.8723749630165424e-145,CACNA2D1,1.2402883153328182e-136,GPHN,2.907160560303849e-104
TSHZ3,1.4182537006204152e-57,LINC00271,2.1777444530550594e-124,LOC105372173,1.1222707106400276e-113,FAM135B,2.208726927078489e-145,F3,2.498467756613243e-19,LY6K,5.8355872020781e-168,NBEAL1,1.3740307833548064e-144,HPRT1,1.4555692643406887e-136,NRCAM,9.087543632773233e-102
ANO10,1.2551806125618407e-57,NKX6-1,8.177977430842864e-124,LOC105377864,8.352789329740195e-114,LINC01609,1.8854105607051338e-145,ADAMTSL1,2.599394636402069e-19,PCBP3,7.471347716515497e-170,ADAM32,5.036169021549751e-143,PLEKHG1,2.6691196269984948e-136,TNFAIP8,8.98674508716726e-102
BIRC6,1.259284440545917e-57,LOC101927314,5.496510874123996e-124,WDFY4,2.274426980413543e-113,WDR41,3.810033222120714e-146,DUSP1,3.5287868855867504e-19,NOVA1-DT,4.823658705575834e-168,ESRRG,2.9688478384908838e-142,DTNA,3.584657646754627e-136,LOC107985242,5.859344276788199e-101
ABL2,2.3678460777015552e-57,BRINP3,1.6283769960044987e-123,LOC646588,3.260550673832773e-112,LRRFIP2,1.778315066397436e-142,MEIS2,3.9734849134015847e-19,GIHCG,7.330558941084491e-168,PXYLP1,8.908711765567058e-142,SLC25A29,1.3305257938934966e-135,RAPGEF2,1.0253609936550643e-101
KAT6A,2.7729068398791576e-57,C4orf47,2.4384900035230323e-123,LINC01876,7.130141536771529e-113,DNAJB4,1.4395446529831822e-141,MED13L,4.405681649891071e-19,NEU3,3.428582436911848e-167,CEP57L1,9.751011548012241e-143,ATP11A,1.5995284027275883e-135,KCNQ5,7.093378985839328e-101
ANAPC5,4.732293200955374e-57,ARMC3,1.3381752430818235e-123,SPATA32,3.4972207998781485e-112,RUNX2,3.64012981430745e-140,SORBS1,4.91398454937206e-19,GLMN,5.2014376570550526e-167,TTLL5,1.3458726754023354e-144,DENND4C,3.2999425908626162e-136,CACNA2D3,7.991418860585716e-103
SPECC1L-ADORA2A,4.298979961907366e-57,CDC14A,5.089795232017074e-123,CSNK1G2,5.168812918447189e-112,TNNI3K,4.653628267107395e-140,FIGN,6.687821688264561e-19,TCF25,4.8741017218028535e-166,GALNT3,4.44713320549964e-142,WT1,7.071112366259084e-135,TMEM131L,8.509531884165832e-101
SMAP1,5.828763127948221e-57,HEATR4,3.247528133399149e-122,CHD5,7.810197277898217e-112,SPZ1,1.0843217822357774e-138,FHL2,6.950228072935663e-19,LINC01507,1.9069299815752272e-164,PARP9,8.99065929643972e-141,MLXIPL,1.9659683514892478e-134,TRIO,1.6514994627165467e-101
NSMCE2,7.24531879068256e-57,C12orf71,6.702206288357644e-121,TEX29,5.645520742863902e-111,VWA3B,1.7353971202323225e-139,PARD3,7.092282209801676e-19,LOC105376103,2.7918463211034237e-163,KIF9-AS1,3.1837567245569738e-142,ME1,2.2702539202889816e-134,DTNB,1.4099909239149722e-100
PTPN4,7.337275463406663e-57,SPATA17,8.882431025674673e-123,AGAP5,4.978197017502788e-111,LINC02498,1.3675852032330913e-138,JAZF1,7.997199828189877e-19,LINC00865,1.1865521956784583e-162,USP32,9.08906318051708e-144,UTY,5.26902686272233e-134,TBL1XR1,2.7359983126063555e-100
DDX24,1.0688961528010714e-56,IQCH,4.3973320261618066e-121,IQCF1,1.8257065270176432e-110,SIAH1,1.6633502213204697e-138,EDNRA,9.010352212446607e-19,SUGP2,6.475099824307067e-164,AGO4,3.17359355587374e-141,MAP3K5,4.761811623699449e-134,DLGAP1,2.4582332498516693e-101
UIMC1,1.4250743500327608e-56,LINC01938,1.3827844279278205e-119,EPB41L3,2.6536904694800888e-110,LOC101927441,8.496242411185782e-138,EXT1,1.0805198211636928e-18,ANKRD20A4-ANKRD20A20P,5.884142990762888e-164,LOC107986666,2.5484309612536076e-141,SUMF1,6.540454596615881e-136,PRKN,7.893952067271552e-101
IGFBP2,6.806768695538404e-56,RNLS,7.076744626522219e-119,FAM135B,5.1638258279167744e-110,EQTN,4.288707455968075e-138,ROR1,1.2270944695451003e-18,POMT1,2.3055418468833127e-162,LOC101928278,1.3150069014675237e-141,FAM110B,3.811429413427594e-133,MSH3,1.2800023239467886e-99
CENPF,4.268274290159458e-56,C8orf89,2.129583455609067e-118,DYNLL2,1.5463459959941382e-109,LOC105370538,1.6497583761533388e-137,PRRX1,1.7296142864088025e-18,CATSPER2,4.4967117245807895e-163,SLC26A8,2.9305086403406624e-140,PDXK,1.1274868026582827e-132,BMERB1,5.123497606238945e-99
MSH3,4.006852194542743e-56,COX6C,7.393470578072807e-119,GALNTL5,1.932671368107624e-110,ADGRL3,1.2874149881277543e-138,EPHA3,1.767353510547614e-18,TBC1D5,8.159956078974047e-164,SHCBP1L,6.103840423563454e-143,ABO,5.5594813868776804e-132,FGF13,3.8339086553458634e-98
AADACL2-AS1,8.485980539565734e-56,H2AC19,3.339313600534841e-118,TNC,1.5270648537975386e-107,LOC730098,6.749500862323273e-139,ZFP36L2,1.898709990525188e-18,PRMT8,8.764893264466632e-161,LOC102724058,3.836569407595554e-139,NINL,2.34206476557509e-132,IGF1R,1.2143070596332567e-98
amplicon-chrY-DAZ1/2/3/4,1.0922957520058921e-55,FNDC3B,1.7288502366938868e-118,LRRTM3,2.023721982133359e-108,CASC15,1.0252267591038365e-136,ITPR1,2.981223103668956e-18,ZBTB44,1.3900986951710422e-161,PSLNR,4.769449088356566e-139,MGAT5,5.1715451227843983e-132,ANKS1B,3.429704110332594e-98
CCDC73,5.680912252833996e-56,NELL1,4.511076224588689e-117,KRTDAP,2.6073351443216024e-106,SLC16A7,1.8852815352419318e-136,PLCB4,3.3650164954903247e-18,SMURF1,3.810089966600478e-162,LOC105377603,4.89269924541572e-138,TENT2,1.858219334501048e-132,NARS2,2.1023960207908034e-97
SREBF2,1.2206150443887915e-55,TXLNB,5.231373952708496e-117,LINC01609,2.430714252744147e-107,GSTCD,4.686016644476013e-137,GREB1L,4.744580678052044e-18,IGFL2,1.392865028295042e-161,FNIP2,6.840709646670127e-138,ZEB2,1.1840369572654704e-131,GPC5,3.871495461596943e-99
PARN,1.483452833265614e-55,MNS1,1.3312007710885446e-116,SSUH2,8.018873794928951e-106,SPTB,3.273940208192846e-135,ANKRD10,5.3990271590268345e-18,POLN,2.71598333722652e-160,PPP2R2B,3.359450167343931e-139,SLC4A5,2.1555729283688197e-131,ATP8A1,2.4519627277237644e-96
SMYD3,1.6653188287292903e-55,LOC105374439,3.926336019614014e-116,EFHD2,7.607419950970921e-106,ANKRD44,1.0999280858853931e-134,TRIO,5.239855654561733e-18,CPLANE1,4.338887427211836e-161,TMIGD3,2.9328419836514415e-137,HSD17B3,7.469602869466245e-131,LOC105377703,7.076109944982322e-97
