Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
PDE8A,1.3628205125971007e-107,LOC105372733,5.888995063857109e-238,STXBP5-AS1,6.761342799995949e-218,PRKCE,8.093606134074678e-263,DCN,2.5014770083566337e-40,CYP19A1,8.031088733115183e-300,ADAM2,4.9296717930870685e-253,SLC7A14-AS1,1.6744254521039806e-216,HS6ST3,1.508086995108763e-194
ABL1,1.1453486614905276e-107,LRRIQ3,6.3124844012541066e-229,GRM5,6.210077584957426e-209,LOC107984035,1.0041532046362112e-266,LHFPL6,2.497387316580806e-40,KDM5B,4.868056522111922e-302,ANKRD20A4-ANKRD20A20P,2.625125483985915e-254,LOC105373347,4.4019139516310146e-216,SDK1,1.831794939097031e-199
LOC107985508,4.042951057360719e-102,STXBP5-AS1,1.2458794401905215e-233,ACAP1,3.239290169680352e-210,MGAT4C,8.746654982569213e-264,FBXL7,1.0510748327066507e-39,REXO5,2.2537126253362032e-305,ADAM18,1.3965286835544776e-247,MYO10,2.931872997596855e-216,SLC25A21,1.6565520820048763e-194
ZCCHC7,1.8610841462252048e-102,CCDC146,4.988840586829578e-224,C20orf141,9.716590525036921e-203,GALNTL5,5.06299912080918e-257,LTBP4,3.714671131904969e-39,LOC105373786,7.182791832784069e-303,MGAT4D,1.597645373609205e-249,TRPM3,3.239423155598973e-217,MDGA2,2.9228839554118964e-190
TEX11,1.1814360215805632e-99,LOC105375551,6.442644037341551e-222,SH3GL3,1.380177967025342e-203,GOLGA6L7,7.927520341928978e-263,THSD4,3.857543281450818e-39,ANKRD36C,1.6238673907660775e-300,ANKRD18A,1.1077344520207944e-245,TBX22,3.985473038209136e-214,LOC107986770,7.486491126807169e-191
SPECC1,6.328867868255489e-98,FOXN3,2.6970636846534817e-224,FAM209A,6.185966440003686e-203,SGCZ,1.8999929518729735e-256,NFIA,2.2489903006185704e-38,AGBL4,2.549261271454449e-307,SPATA16,5.7014132906702565e-241,LOC105375523,8.410889835074747e-215,RGS7,3.3112524903740784e-187
ZBTB46-AS1,1.4562880493794042e-95,LOC107984035,3.5962717540247154e-223,CCNY,4.423761426972883e-203,ZNF385B,3.1283899580065727e-244,NR2F2-AS1,4.562526270525668e-38,C5orf58,4.514306465933692e-296,LINC01206,5.3767351407484595e-244,AKAP12,8.846915688467886e-216,LOC105376755,1.0171323565807179e-184
PTK2,2.4904461955110836e-96,NEBL,1.0923575085998485e-216,SMKR1,2.4060702526224865e-201,LPP,2.8471911818379424e-245,SNED1,2.6604129802906578e-37,KASH5,5.824445932382235e-289,DLGAP2,4.174807361453976e-241,RUFY3,5.664081566391156e-214,DPP10,1.7478042672840073e-184
ATP2B1,7.936174921675623e-95,MAST4,1.5357377664890226e-216,PRKCE,3.713553812815956e-200,LMNTD1,1.1491598499357535e-244,PRKG1,2.9989810471753117e-37,CHD9,1.1585389802115193e-293,DLEU1,3.515037175610115e-233,MYO6,6.929574596068933e-212,LOC442028,1.4786499165524469e-182
OSBPL8,2.2942683684801535e-94,RERG,3.6230133721953655e-210,LOC105372440,8.861169256568705e-198,MAGI1,9.277519843868983e-244,MIR100HG,7.218535951844308e-37,VPS13B,3.7436107543490464e-295,DNAH8,1.310947271074436e-231,LAMA1,1.959654695569955e-211,GRIP1,3.0795696971687115e-183
LOC105377171,3.51669326333737e-94,TSBP1,3.0882972606050974e-211,CCSER1,1.044041729899048e-205,SRPK2,9.548085605930527e-244,ADAMTS9-AS2,9.773078080832121e-37,SCAPER,1.8320086056426353e-291,ANKRD36B,3.016008386012716e-233,DCAF8L2,4.818622933644519e-211,NKAIN2,6.482679496483697e-178
MEF2C-AS1,3.3181984413734537e-94,PSD3,1.350833237119924e-210,MGAT4C,4.965566234714161e-198,PTTG1IP2,1.6055352450018625e-239,DLC1,2.8685080422429275e-36,IFT88,2.7414641270897627e-291,CAMKMT,8.538954523793691e-232,RORA,8.174945524991138e-211,GALNTL6,2.958489194607833e-181
PTPRA,5.148189711973478e-94,ADGB,1.6634266919720502e-207,C5orf46,2.8124014953154405e-194,LOC101929563,4.535068089927568e-239,SVIL,3.3516192487708267e-36,SPDYE14,6.670649148878488e-282,SCHLAP1,1.0066413605379177e-225,SYNE2,3.5903460598358985e-208,TENM3,1.1222434338119585e-179
