Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
IL1RAPL1,2.312724136504439e-58,SPAG17,1.9206743303898697e-179,LOC101928278,1.1915375911622482e-260,FRMD5,1.6382492271073742e-238,BNC2,1.1570339287050325e-59,PFDN6,2.027145307918356e-282,IZUMO4,3.0870302255806304e-230,PLXDC2,2.4767846332127792e-225,DPYD,1.728096417547689e-243
JMJD1C,1.3525928326348754e-58,PSD3,6.623559540093362e-180,SLC25A41,2.600724174453222e-260,LOC105375387,1.8045607968377402e-237,RPL13A,1.3395812230526399e-59,IMMP2L,3.470145617203748e-282,CATSPERE,8.849779102735036e-228,CLDN11,2.9126652281470535e-223,FAM189A1,8.715934270566194e-241
NR6A1,1.901419875958177e-58,BRINP3,2.0981450202221158e-176,TEX50,5.064971411544569e-261,USP8,7.811230438338046e-238,LPP,2.0982368414940253e-59,SPATA22,3.156153164758324e-278,ZNF385D,1.1445123623342365e-225,ARHGAP26,4.3149957436973245e-226,TEAD1,3.457453821207418e-233
TAF15,2.420793404244246e-58,KCNT2,4.542653926145893e-175,LOC105376108,3.250362095000725e-259,LINC01988,3.799394890964362e-232,EBF1,1.253805280760169e-58,ANKRD30A,1.907671092942243e-275,CAMKMT,5.084347219616742e-226,AKAP12,1.0400850856068121e-221,LARGE1,2.117394663359041e-230
MAP4K4,4.754676470363289e-58,COX6C,5.730631697721536e-172,SPATA42,2.1136163062827944e-258,ILRUN-AS1,1.0014431438151628e-237,PLPP3,3.1344458260967053e-58,MEIOB,5.575697755570157e-266,ANKRD36C,9.681732689711653e-225,MALAT1,1.417007794832681e-242,SDK1,1.359906716071797e-231
STAG1,1.0740852301078188e-57,MNS1,2.985486082041161e-172,LOC105375477,1.2139771298799292e-258,NEBL,1.41857365954041e-225,CD63,6.447801111484977e-58,KCTD19,2.4218634745600392e-263,SPDYA,2.8496043818987056e-223,ATF7IP2,5.80371118081033e-217,IL1RAPL1,2.662994152119405e-223
HMGB1,4.553735214643353e-56,ODAD2,4.0159926136461453e-171,LOC730098,2.086304124172417e-263,IGSF11,6.070968314678221e-225,PRKG1,5.654699280115132e-57,LOC105373592,2.0889003975722506e-264,LOC105379207,5.992310266061017e-219,REEP1,3.9916834376726595e-212,P2RY14,3.532511521199738e-222
EPB41,1.220480920870013e-55,NOL4,2.6394226118357335e-169,LELP1,4.8249313954339005e-257,DCC,6.690986483037792e-223,RBPMS,1.4680033420845864e-56,TOP2A,2.4802581836949706e-259,CRB1,5.245586469463851e-216,RHOBTB3,2.7518870149360885e-211,DPP10,4.3326220851940655e-220
amplicon-chrY-TSPY1/10/2/3/4/8,2.1603465056959134e-55,LOC730098,2.839951396806544e-165,FUZ,2.8944668193405725e-250,IL7,1.3497694990571163e-220,C1S,9.542443849263363e-56,PHF7,2.788019779022709e-257,ANKRD30BL,2.0494690107611763e-217,MAP3K13,7.790238222839748e-212,SPIDR,8.433856437621214e-220
HSP90AA1,2.0636286337537364e-55,PACRG,5.657421099581144e-160,TMEM191B,2.5376012833129455e-244,ERICH2,1.7102720811311847e-222,RPL10,1.6741690902759497e-55,C5orf58,1.595284054865901e-259,LOC105369228,1.3086633880034395e-213,CTNNA2,1.1151334707403968e-210,CAMK1D,5.021721596288108e-216
HELLS,3.4518341771473305e-55,USP8,3.646004290122728e-161,FAM209B,1.4280593719397372e-240,GRID2,6.709898124620047e-217,DDIT4,2.9352456988412743e-55,SYCE1,1.3430591399657496e-256,ADAM18,1.2519265814617556e-212,MAGED1,6.864488751655499e-208,DLG1,2.799279638759581e-214
HSPA1B,1.2764350216059945e-53,SPINK2,4.677361930004015e-161,SULT1A1,1.5182066625044332e-235,CRPPA-AS1,5.277860605011937e-211,SNED1,3.8215782257764025e-55,IHO1,1.2580836127206289e-254,LOC102724151,3.6146550544829074e-212,KIAA1958,1.6315941177501024e-205,SYT14,1.735915691344828e-211
TMEM131L,5.0396591672430385e-53,WDR41,6.725664249930928e-160,CAPZA3,1.5500389495231285e-236,LOC100134040,3.014302229662722e-211,VIM,6.155531468858247e-55,TPTE,2.049158237865138e-257,F11-AS1,3.401915667094559e-212,ABCA8,3.4006824449979984e-205,RGS7,9.344805050551071e-211
CCDC137,1.861067502585209e-52,ULK4,2.4119548428100615e-159,JRKL,2.2775613265489698e-231,LOC101929998,3.510271997774393e-210,MEG8,2.6037535141988912e-54,LOC105373554,7.167513707215925e-244,PABPC1,7.158358721057269e-213,WNK3,1.2805659082525035e-202,GALNT17,1.8818737365869516e-210
HSPA1A,2.6576490237365877e-52,GOLGA8G,1.546768210120332e-157,NFKBIB,1.6453716835923868e-230,SRPK2,2.321483189591292e-211,ITM2B,4.191597240435549e-54,MYT1L,6.387521494148619e-243,LOC440910,9.552491724326507e-205,DANT2,2.8952339776627338e-201,GPC6,3.615471118907237e-210
CAMTA1,3.4889080668250304e-52,C12orf42,1.3471918204283153e-155,PRM3,5.014424945254813e-231,RGSL1,3.223219963347159e-209,S100A6,6.08523719807489e-54,SCAPER,5.349918278477447e-243,SPAG16,4.367208346999419e-207,NFIA,3.9014191931936572e-205,JMJD1C,5.452713134797036e-214
DMRT1,1.2744585929205687e-51,H2AC19,1.7676269560323832e-155,EIF4H,2.4513605118270616e-227,C17orf50,4.003473016023918e-209,CALD1,9.756116538902214e-54,MEIKIN,6.746030643516895e-235,WFDC3,1.6590742931155765e-203,KIAA1217,3.615740205031127e-199,LOC105374557,1.0946290746963445e-204
ATP8B1,1.3573474656765782e-51,H2AC18,1.8362209635966617e-155,SMKR1,1.720774984270581e-229,LINC01500,3.942897640461522e-208,MIR99AHG,1.240317160585703e-53,DPY19L2,1.3627333008370399e-237,COX7A2,7.11264826260253e-205,KEL,1.1419469445391203e-195,LOC442028,8.924011222936981e-203
RPS18,1.2676470403359359e-51,KIF9,1.2284300415283444e-154,C20orf141,3.8536255277270135e-224,CTAGE1,2.2502087187538872e-207,IFITM3,2.1865755991491634e-53,LINC00466,8.698267318647536e-234,SNAP91,8.317067670812527e-200,TANC2,3.4271688178692113e-199,ADAM23,1.2995406802642123e-203
TSEN54,9.868208136784681e-51,EPHA6,3.4806036558407815e-154,PPP2R2B,1.1893592196946728e-223,NOL4,5.70961976520422e-208,ZFP36L1,2.841729817751032e-53,ACADVL,1.262633286370197e-229,SLCO6A1,1.6171717311758885e-200,FHIT,4.01834818421586e-198,NKAIN2,9.024497992790784e-202
PTK2,6.625948340621253e-51,TEX51,3.806589439614484e-152,ERICH2,4.694449894369586e-226,LOC105377955,7.707141495845806e-204,LAMA2,3.637366277480205e-53,NFAT5,2.0844659838509702e-231,SPINK2,9.249855931136903e-200,CAMK2D,4.944129406265492e-194,PHF14,1.0514932085638372e-203
LOC107986770,2.0403325750054649e-50,LINC01609,6.64326712892505e-153,H1-7,1.696522267891536e-221,SLC44A2,1.960560485878028e-202,COL6A3,4.179514632226413e-53,LY6K,2.4847499818907507e-226,DLGAP2,1.0345720855445545e-200,MTRNR2L10,7.419480206379139e-193,LINC01193,4.211989281742729e-201
RPS15,4.702566227804591e-50,LOC101928236,1.2775229307312592e-150,NDUFB2,6.210484064427196e-219,LOC105373593,6.4014600933600365e-201,IGFBP4,5.87056092281778e-53,SHCBP1L,2.513296639649674e-231,GLIPR1L2,2.504984651018708e-197,RUFY3,1.6997126365376323e-193,NEDD4L,1.8639551305320756e-200
SMC3,6.4921225345928095e-50,PCDH9-AS3,1.48696306814278e-150,MAP3K14-AS1,5.687291025071424e-216,LOC105375409,1.459018352413065e-199,RORA,4.859077471708158e-53,PCBP3,2.2708026678175625e-224,LOC646762,3.1463283250997125e-195,LOC112268302,7.072368970267727e-193,RAPGEF2,2.8295905416813294e-199
HERC5,2.522871825302071e-49,LOC101929492,1.3807476069769493e-150,FAM186A,8.387300045505522e-219,PALLD,6.78417490265965e-201,C1R,2.112591650028973e-52,ART3,5.3350270357057476e-223,LARP1B,2.1358082268468065e-197,TJP1,1.3983981802315692e-194,TBL1XR1,2.398348319052641e-199
ZCCHC7,3.659234757193167e-49,MROH9,7.687355715014968e-149,LINC02491,1.8181923856319616e-214,HMGB4,4.864218572934591e-209,SLC2A3,2.0525566252346063e-51,ZCWPW1,2.4402156535037836e-218,LDHC,3.951090237703913e-195,DPP6,7.964462377285e-192,AGMO,5.039239974463977e-197
LOC101928688,3.1804250322611566e-48,SERF1B,1.717295896840855e-149,COLCA1,1.9066463793262496e-213,CCDC54,6.912665601110763e-199,PDGFRA,1.180572982970363e-49,RFX4,2.4125688357876024e-220,CFAP299,4.210488868649845e-194,SEPTIN6,5.486166677478462e-189,FMN1,5.979378939518845e-198
ZFYVE9,1.3456946570904797e-47,LINC02235,1.0287838102106143e-148,LINC01837,1.8970917070014957e-215,ZFPM2,5.1071866002422506e-197,EEF1A1,1.159014451853514e-49,TMCC1,9.087754581756925e-218,SLC9C1,3.4858678163604225e-190,DEFB119,1.4356000015938552e-188,PLEKHA5,7.15871727323009e-195
MDN1,6.675756078235281e-47,LINC01911,2.4751135001275924e-147,SPATA12,1.8708793833158617e-213,C20orf144,2.963074316228206e-199,RPS28,1.536386718014129e-49,GGA1,7.114287665345661e-214,LINC00342,6.742918621219788e-191,LINC-PINT,1.6216160033647593e-190,TMTC2,1.4771875202259578e-192
ATP2B1,6.860599692583107e-47,LOC112268205,1.3119217528114498e-146,LINC01000,3.989256695120717e-213,ASB15,5.911640896626254e-195,ZFP36,3.036312318646988e-49,SDK1,1.8848920270895577e-212,PTPN22,1.3265791386356604e-189,SERINC5,1.1196089512301205e-188,CNTNAP2,1.108752754751496e-193
